index_num,idiom,idiom_stripped,s1,s2,s3,label,position,corrected_labels,total_i,total_l,total_na,incorrect_i,incorrect_l,incorrect_na,incorrect_total,total_duplicates
658,डेढ अक्कल लगाउनु,डेढ अ,नेप्सेमा दुईतिहाइ हिस्सा रहेको वाणिज्य बैंक समूहको सूचक साढे १६ अंकले घटेको छ ।,"त्यसैगरी विकास बैंकको ३२ अंकले, जलविद्युतको २५ अंकले, बीमाको ६४ अंकले, उत्पादनमुलका ४२ र वित्त कम्पनी समूहको सूचक डेढ अंकले घटेको नेपाल स्टक एकसचेञ्जले जनाएको छ ।",यो दिन १ सय ४० कम्पनीका ९१ लाख ९ हजार कित्ता सेयर १ अर्ब ८४ करोड रुपैयाँको सेयर किनबेच भएको छ ।,NA,"त्यसैगरी विकास बैंकको ३२ अंकले, जलविद्युतको २५ अंकले, बीमाको ६४ अंकले, उत्पादनमुलका ४२ र वित्त कम्पनी समूहको सूचक डेढ अंकले घटेको नेपाल स्टक एकसचेञ्जले जनाएको छ ।",,189,57,412,107,39,6,152,0
659,ढोग दिनु,ढोग द,उनको घरभन्दा करिब १ किलोमिटर माथि ढोगदिना डाँडामा गत वर्ष नै सानो पहिरो सुरु भएको थियो ।,ढोग दिनाको पहिरो फुट्यो भने घर रहँदैन भन्ने डर उनमा थियो ।,"‘मान्छे त जोगाउनु पर्‍यो भनेर आमा, श्रीमती र केटा केटीलाई ब्युँझाँए ।",NA,###ढोग दिनाको### पहिरो फुट्यो भने घर रहँदैन भन्ने डर उनमा थियो ।,NA,,,,,,,,
660,ढोग दिनु,ढोग द,"शिव पुराणमा कार्य, व्यवहार र सोचद्धारा गरिएको १२ पापबारे वर्णित गरिएको छ, जसमा भगवान शिवले कहिल्ये क्ष’मा गर्न नसक्ने बताइएको छ ।",मन्दिरमा गएर निर्जीव मूर्तिलाई फूलपाती अक्षता भेटी चढाई ढोग दिनुलाई धर्म भन्छन् भने मन्दिरमा पूजा नगर्नुलाई पाप भन्छन् ।,प्रत्यक्ष अप्रत्यक्ष सबैले धेरै थोरै पाप गरेकै छन् ।,I,मन्दिरमा गएर निर्जीव मूर्तिलाई फूलपाती अक्षता भेटी चढाई ###ढोग दिनुलाई### धर्म भन्छन् भने मन्दिरमा पूजा नगर्नुलाई पाप भन्छन् ।,I,,,,,,,,
661,ढोग दिनु,ढोग द,"’, डम्बर सिंहले सोधे।","‘बा ढोग दिएँ’, अगि कड्किएर बोलेको सिपाही एक्कासी डम्बर सिंको खुट्टामा घोप्टो प¥यो।",बुढाले केही सोच्नै सकेनन्।,I,"‘बा ###ढोग दिएँ###’, अगि कड्किएर बोलेको सिपाही एक्कासी डम्बर सिंको खुट्टामा घोप्टो प¥यो।",I,,,,,,,,
662,ढोग दिनु,ढोग द,"—रोस्यको आगो (चूलाको आगो)
६–मूनी लाल, उईमथि ताल, तालमथि टोकरी फूल भन्या के हो ?","– अगामाथि भूजुुङ्गोमा लाउन पकाएको
७–ईजा ढोग दिनी, चेली पर्सनी भन्या के हो ?","–फोलो रे कसिन्ना
८–राजा की रानी, मुखबाट ब्याउनी भन्या के हो ?",NA,"– अगामाथि भूजुुङ्गोमा लाउन पकाएको
७–ईजा ढोग दिनी, चेली पर्सनी भन्या के हो ?",,,,,,,,,
663,तगारो हाल्नु,तगारो ह,हिजो राजतन्त्र रहँदासम्म आफ्ना सबै दोषका लागि राजतन्त्रतिर देखाएर कांग्रेसको बाटोमा दरबार नै तगारो भइदियो भनी अर्थ लगाइदिँदा तत्कालका लागि नाक जोगाउने उपाय हुन्थ्यो ।,तर राजतन्त्र नभएका यी दिनमा कांग्रेसलाई आफ्नो पौरख चलाउन केले तगारो हाल्यो ?,"यसको उत्तर अब कांग्रेसले अन्यत्र होइन, आफैंभित्र खोज्नुपर्दछ र गणतन्त्र, संघीयता र धर्मनिरपेक्षता कांग्रेसलाई महँगो भइरहेको त होइन ?",I,तर राजतन्त्र नभएका यी दिनमा कांग्रेसलाई आफ्नो पौरख चलाउन केले ###तगारो हाल्यो### ?,,,,,,,,,
664,तगारो हाल्नु,तगारो ह,"जस्तो कि, महिलामा हुने हर्मोनको परिवर्तनले पनि उनीहरुमा यौनइच्छा घट्न सक्छ ।","त्यसबाहेक केहि यस्ता आनीबानी हुन्छ, जसले यौन जीवनमा तगारो हाल्छ ।","शरीर तन्दुरुस्त नहुनु
शरीर स्वास्थ्य र तन्दुरुस्त छ भने नै, सक्रिय यौन सम्बन्ध स्थापित गर्न सकिन्छ ।",I,"त्यसबाहेक केहि यस्ता आनीबानी हुन्छ, जसले यौन जीवनमा ###तगारो हाल्छ### ।",,,,,,,,,
665,तगारो हाल्नु,तगारो ह,निर्वाचन परिणामले वाम गठवन्धनलाई बाग्मतीमा एकल बहुमतको सरकार बनाउने हैसियतमा पनि पुर्यायो ।,"तर, एमालेभित्रकै अन्तरकलहले मुख्यमन्त्री बन्ने शाक्यको बाटोमा तगारो हाल्यो ।",शाक्यका विरुद्ध एमालेको संस्थापन पक्षले डोरमणि पौडेल खडा गर्यो ।,I,"तर, एमालेभित्रकै अन्तरकलहले मुख्यमन्त्री बन्ने शाक्यको बाटोमा ###तगारो हाल्यो### ।",,,,,,,,,
666,तगारो हाल्नु,तगारो ह,म त्यही गर्छु ।,अब बाहिर बाट हल्ला खल्ला गरेर सरकारको समृद्धिको यात्रामा तगारो हाल्न खोज्दैमा लत्रिनु हुन्न ।,फेरि म म यहाँ सधै बस्नेपनि हैन ।,I,अब बाहिर बाट हल्ला खल्ला गरेर सरकारको समृद्धिको यात्रामा ###तगारो हाल्न### खोज्दैमा लत्रिनु हुन्न ।,,,,,,,,,
667,तगारो हाल्नु,तगारो ह,"सही मित्र को हो— त्यस्तो व्यक्ति जसले मित्रता कायम राख्नको लागि मिठामिठा कुराहरू भन्दछ वा त्यस्तो व…
अगस्ट 2, 2020
Article
परिवार हुनुको महत्त्व के हो ?","आज थुप्रैलाई परिवार भनेको आफ्नो बाटोको तगारो हो, त्यसमै फसिरहने जाल हो भन्ने लाग्दछ ।",के वास्तवमै परिवार कसैको जीवनमा बाधक बन्दछ ?,NA,"आज थुप्रैलाई परिवार भनेको आफ्नो बाटोको ###तगारो### हो, त्यसमै फसिरहने जाल हो भन्ने लाग्दछ ।",NA,,,,,,,,
